日付,PCR 検査陽性者数(単日),PCR 検査実施件数(単日),国立感染症研究所,検疫所,地方衛生研究所・保健所,民間検査会社,大学等,医療機関,入院治療を要する者,重症者数,退院、療養解除となった者,死亡者数
2020/03/01,15,96.0,0,22,544,116,0,,201,23,31,5
2020/03/02,14,71.0,125,24,1038,15,0,,212,24,32,6
2020/03/03,16,153.0,20,27,1718,11,0,,226,24,35,6
2020/03/04,33,3940.0,71,12,1398,7,0,,258,27,37,6
2020/03/05,31,699.0,83,11,1579,5,0,,271,30,38,6
2020/03/06,59,553.0,107,35,1786,5,62,68.0,323,28,56,6
2020/03/07,47,147.0,18,13,1616,11,20,44.0,366,33,63,6
2020/03/08,33,110.0,0,10,579,2,8,9.0,377,33,67,6
2020/03/09,26,1314.0,0,27,1072,4,97,48.0,400,31,88,7
2020/03/10,54,424.0,8,57,1763,97,65,62.0,437,26,89,9
2020/03/11,52,181.0,69,45,1537,81,70,83.0,481,29,103,12
2020/03/12,55,1855.0,86,128,1378,28,54,65.0,520,32,108,15
2020/03/13,40,859.0,4,187,1163,37,75,98.0,548,35,120,19
2020/03/14,62,107.0,153,238,1082,53,15,52.0,591,36,129,21
2020/03/15,33,42.0,12,59,432,0,4,106.0,603,41,142,22
2020/03/16,15,2083.0,25,65,816,35,82,57.0,621,46,149,24
2020/03/17,44,203.0,35,14,1548,63,63,56.0,645,46,156,28
2020/03/18,39,3490.0,16,59,1461,97,89,69.0,659,49,176,29
2020/03/19,36,119.0,22,31,1449,86,91,66.0,681,50,200,31
2020/03/20,53,132.0,0,51,1270,28,93,24.0,723,55,212,33
2020/03/21,34,56.0,0,40,696,121,28,13.0,719,57,217,35
2020/03/22,42,3862.0,4,83,688,0,42,40.0,743,54,257,36
2020/03/23,38,674.0,0,20,1136,37,119,80.0,763,55,270,41
2020/03/24,65,1805.0,2,47,1973,84,119,102.0,816,57,285,42
2020/03/25,93,1442.0,0,29,1571,142,101,66.0,855,56,294,43
2020/03/26,96,296.0,0,17,1721,152,164,95.0,920,57,343,45
2020/03/27,104,206.0,30,12,1774,196,166,87.0,948,60,356,46
2020/03/28,194,3481.0,0,16,2049,273,156,32.0,1187,59,388,49
2020/03/29,185,1914.0,326,62,1326,272,94,29.0,1358,59,408,52
2020/03/30,74,4685.0,456,97,1665,540,258,183.0,1423,59,408,54
2020/03/31,218,3305.0,0,207,3037,399,252,187.0,1594,60,408,56
2020/04/01,224,271.0,0,46,2870,486,354,340.0,1757,62,456,57
2020/04/02,253,218.0,0,131,3544,719,409,267.0,1980,64,489,60
2020/04/03,337,7876.0,186,496,3536,786,537,191.0,2227,69,498,63
2020/04/04,370,4544.0,517,590,3179,1183,384,68.0,2553,70,559,69
2020/04/05,386,1383.0,288,702,2021,496,145,47.0,2921,79,568,70
2020/04/06,270,2841.0,338,627,2769,782,650,303.0,3132,80,575,73
2020/04/07,377,5389.0,357,685,4152,1338,641,203.0,3472,99,605,80
2020/04/08,550,1644.0,414,805,4110,1850,589,296.0,3914,109,615,81
2020/04/09,572,57.0,287,940,4541,1663,549,338.0,4461,117,668,85
2020/04/10,708,9252.0,344,650,4730,1565,676,345.0,5063,122,697,88
2020/04/11,676,8255.0,351,683,4678,1442,369,91.0,5751,129,745,94
2020/04/12,571,693.0,326,833,2835,287,50,81.0,6239,135,767,98
2020/04/13,333,5325.0,103,819,3202,1739,742,419.0,6564,152,782,102
2020/04/14,511,4149.0,205,939,5492,1493,701,375.0,6961,168,836,109
2020/04/15,511,1004.0,83,694,5473,1972,572,430.0,7388,193,884,119
2020/04/16,596,2953.0,0,703,5617,1718,558,320.0,7884,207,918,136
2020/04/17,575,6816.0,135,846,5490,2112,650,400.0,8448,211,995,148
2020/04/18,590,5542.0,8,778,4845,2737,202,138.0,8916,217,1052,154
2020/04/19,372,4415.0,125,834,3500,52,42,92.0,9215,231,1142,161
2020/04/20,365,5349.0,0,425,3305,2220,708,484.0,9449,232,1222,171
2020/04/21,374,5187.0,0,668,4744,2086,1012,345.0,9740,241,1339,186
2020/04/22,450,1250.0,65,358,5315,2512,806,356.0,10082,259,2023,277
2020/04/23,445,1136.0,144,521,5464,2389,945,320.0,10469,263,2391,287
2020/04/24,451,8545.0,73,687,4924,2635,1185,453.0,10801,287,2519,317
2020/04/25,374,3244.0,148,795,4352,2700,315,167.0,11046,296,2645,334
2020/04/26,221,879.0,0,732,2983,433,67,99.0,11175,300,2798,348
2020/04/27,189,8126.0,0,592,3135,2264,960,499.0,11252,305,2888,351
2020/04/28,284,6820.0,57,711,4958,2927,946,478.0,11427,306,3170,376
2020/04/29,227,880.0,0,636,4146,2213,196,142.0,11585,308,3357,389
2020/04/30,199,1012.0,52,591,3317,2902,956,527.0,11424,328,3449,415
2020/05/01,266,1332.0,68,706,4582,2731,1025,526.0,11558,324,3964,432
2020/05/02,302,1569.0,165,805,3992,3354,381,274.0,11724,321,4194,458
2020/05/03,204,447.0,70,692,3047,666,274,295.0,11823,308,4368,492
