日付,PCR 検査陽性者数(単日),PCR 検査実施件数(単日),重症者数,退院、療養解除となった者,死亡者数
2020/03/01,15,96.0,23,31,5
2020/03/02,14,71.0,24,32,6
2020/03/03,16,153.0,24,35,6
2020/03/04,33,3940.0,27,37,6
2020/03/05,31,699.0,30,38,6
2020/03/06,59,553.0,28,56,6
2020/03/07,47,147.0,33,63,6
2020/03/08,33,110.0,33,67,6
2020/03/09,26,1314.0,31,88,7
2020/03/10,54,424.0,26,89,9
2020/03/11,52,181.0,29,103,12
2020/03/12,55,1855.0,32,108,15
2020/03/13,40,859.0,35,120,19
2020/03/14,62,107.0,36,129,21
2020/03/15,33,42.0,41,142,22
2020/03/16,15,2083.0,46,149,24
2020/03/17,44,203.0,46,156,28
2020/03/18,39,3490.0,49,176,29
2020/03/19,36,119.0,50,200,31
2020/03/20,53,132.0,55,212,33
2020/03/21,34,56.0,57,217,35
2020/03/22,42,3862.0,54,257,36
2020/03/23,38,674.0,55,270,41
2020/03/24,65,1805.0,57,285,42
2020/03/25,93,1442.0,56,294,43
2020/03/26,96,296.0,57,343,45
2020/03/27,104,206.0,60,356,46
2020/03/28,194,3481.0,59,388,49
2020/03/29,185,1914.0,59,408,52
2020/03/30,74,4685.0,59,408,54
2020/03/31,218,3305.0,60,408,56
2020/04/01,224,271.0,62,456,57
2020/04/02,253,218.0,64,489,60
2020/04/03,337,7876.0,69,498,63
2020/04/04,370,4544.0,70,559,69
2020/04/05,386,1383.0,79,568,70
2020/04/06,270,2841.0,80,575,73
2020/04/07,377,5389.0,99,605,80
2020/04/08,550,1644.0,109,615,81
2020/04/09,572,57.0,117,668,85
2020/04/10,708,9252.0,122,697,88
2020/04/11,676,8255.0,129,745,94
2020/04/12,571,693.0,135,767,98
2020/04/13,333,5325.0,152,782,102
2020/04/14,511,4149.0,168,836,109
2020/04/15,511,1004.0,193,884,119
2020/04/16,596,2953.0,207,918,136
2020/04/17,575,6816.0,211,995,148
2020/04/18,590,5542.0,217,1052,154
2020/04/19,372,4415.0,231,1142,161
2020/04/20,365,5349.0,232,1222,171
2020/04/21,374,5187.0,241,1339,186
2020/04/22,450,1250.0,259,2023,277
2020/04/23,445,1136.0,263,2391,287
2020/04/24,451,8545.0,287,2519,317
2020/04/25,374,3244.0,296,2645,334
2020/04/26,221,879.0,300,2798,348
2020/04/27,189,8126.0,305,2888,351
2020/04/28,284,6820.0,306,3170,376
2020/04/29,227,880.0,308,3357,389
2020/04/30,199,1012.0,328,3449,415
2020/05/01,266,1332.0,324,3964,432
2020/05/02,302,1569.0,321,4194,458
2020/05/03,204,447.0,308,4368,492
2020/05/04,177,13005.0,309,4479,510
2020/05/05,120,10680.0,308,4570,521
2020/05/06,106,2265.0,300,4901,543
2020/05/07,96,3995.0,287,5129,551
2020/05/08,89,5993.0,266,8110,600
2020/05/09,108,288.0,267,8276,613
2020/05/10,68,10074.0,249,8514,621
2020/05/11,50,5866.0,243,8903,643
2020/05/12,80,3092.0,259,9851,668
2020/05/13,54,4337.0,245,10321,687
2020/05/14,100,4987.0,237,10792,710
2020/05/15,52,5980.0,232,11136,725
2020/05/16,57,3221.0,230,11398,744
2020/05/17,30,3669.0,228,11547,749
2020/05/18,30,4580.0,213,11867,763
2020/05/19,31,3495.0,210,12269,771
2020/05/20,38,2769.0,195,12655,777
2020/05/21,43,1252.0,176,12988,796
2020/05/22,31,3620.0,174,13227,808
2020/05/23,29,2994.0,168,13396,820
2020/05/24,40,3004.0,165,13446,830
2020/05/25,20,3981.0,155,13643,846
2020/05/26,27,3501.0,147,13806,858
2020/05/27,37,2652.0,136,13979,867
2020/05/28,61,1657.0,131,14085,874
2020/05/29,64,3789.0,123,14237,886
2020/05/30,46,4526.0,119,14290,891
2020/05/31,32,3979.0,115,14333,892
2020/06/01,36,4600.0,113,14481,894
2020/06/02,51,4939.0,101,14602,900
2020/06/03,26,3220.0,102,14690,903
2020/06/04,45,1725.0,98,14795,907
2020/06/05,41,4516.0,99,14901,914
2020/06/06,45,4600.0,98,14961,916
2020/06/07,32,5092.0,99,14970,916
2020/06/08,22,4573.0,92,15035,916
2020/06/09,30,5145.0,91,15120,919
2020/06/10,36,2633.0,88,15200,920
2020/06/11,40,1451.0,82,15308,922
2020/06/12,57,4300.0,76,15395,924
2020/06/13,43,4462.0,73,15451,925
2020/06/14,62,1348.0,71,15493,925
2020/06/15,60,6176.0,80,15508,927
2020/06/16,42,4823.0,70,15657,931
2020/06/17,43,2474.0,62,15737,935
2020/06/18,68,4127.0,62,15811,935
2020/06/19,54,5376.0,61,15880,952
2020/06/20,65,3722.0,59,15911,953
2020/06/21,49,4979.0,59,15936,953
2020/06/22,40,4455.0,62,16007,955
2020/06/23,53,4758.0,60,16058,963
2020/06/24,89,3533.0,58,16116,967
2020/06/25,79,1513.0,51,16188,968
2020/06/26,99,5510.0,48,16248,970
2020/06/27,88,4651.0,45,16301,970
2020/06/28,111,6564.0,43,16353,971
2020/06/29,110,5460.0,42,16424,971
2020/06/30,132,6597.0,40,16522,973
2020/07/01,125,3134.0,37,16563,974
2020/07/02,194,2618.0,33,16654,975
2020/07/03,249,8228.0,32,16747,976
2020/07/04,268,7099.0,33,16838,976
2020/07/05,195,7725.0,34,16912,976
2020/07/06,172,7700.0,36,16981,977
2020/07/07,208,8955.0,35,17115,979
2020/07/08,203,5362.0,38,17250,980
2020/07/09,352,1838.0,31,17436,981
2020/07/10,420,10552.0,33,17633,981
2020/07/11,373,11154.0,32,17787,981
2020/07/12,391,11343.0,34,17887,981
2020/07/13,248,16683.0,40,18066,981
2020/07/14,327,12994.0,38,18312,983
2020/07/15,440,7166.0,37,18580,984
2020/07/16,619,3262.0,39,18862,984
2020/07/17,588,15959.0,41,19132,984
