国立感染症研究所,検疫所,地方衛生研究所・保健所,民間検査会社,大学等,医療機関
0,22,544,116,0,
125,24,1038,15,0,
20,27,1718,11,0,
71,12,1398,7,0,
83,11,1579,5,0,
107,35,1786,5,62,68
18,13,1616,11,20,44
0,10,579,2,8,9
0,27,1072,4,97,48
8,57,1763,97,65,62
69,45,1537,81,70,83
86,128,1378,28,54,65
4,187,1163,37,75,98
153,238,1082,53,15,52
12,59,432,0,4,106
25,65,816,35,82,57
35,14,1548,63,63,56
16,59,1461,97,89,69
22,31,1449,86,91,66
0,51,1270,28,93,24
0,40,696,121,28,13
4,83,688,0,42,40
0,20,1136,37,119,80
2,47,1973,84,119,102
0,29,1571,142,101,66
0,17,1721,152,164,95
30,12,1774,196,166,87
0,16,2049,273,156,32
326,62,1326,272,94,29
456,97,1665,540,258,183
0,207,3037,399,252,187
0,46,2870,486,354,340
0,131,3544,719,409,267
186,496,3536,786,537,191
517,590,3179,1183,384,68
288,702,2021,496,145,47
338,627,2769,782,650,303
357,685,4152,1338,641,203
414,805,4110,1850,589,296
287,940,4541,1663,549,338
344,650,4730,1565,676,345
351,683,4678,1442,369,91
326,833,2835,287,50,81
103,819,3202,1739,742,419
205,939,5492,1493,701,375
83,694,5473,1972,572,430
0,703,5617,1718,558,320
135,846,5490,2112,650,400
8,778,4845,2737,202,138
125,834,3500,52,42,92
0,425,3305,2220,708,484
0,668,4744,2086,1012,345
65,358,5315,2512,806,356
144,521,5464,2389,945,320
73,687,4924,2635,1185,453
148,795,4352,2700,315,167
0,732,2983,433,67,99
0,592,3135,2264,960,499
57,711,4958,2927,946,478
0,636,4146,2213,196,142
52,591,3317,2902,956,527
68,706,4582,2731,1025,526
165,805,3992,3354,381,274
70,692,3047,666,274,295
217,366,2558,1540,395,280
266,406,2448,1386,391,277
244,399,2157,1203,367,293
224,487,2689,3285,1012,500
115,425,3851,3479,1156,528
106,581,3458,3810,390,302
52,648,2088,566,160,148
23,633,2066,2731,1250,668
27,692,3387,3237,1201,556
24,231,3179,4021,997,450
3,525,2936,3590,1011,491
8,578,2741,3299,1190,472
94,658,2399,2891,363,232
10,732,1340,526,143,149
0,482,1486,2794,1273,629
12,643,2185,3124,1114,541
10,360,2056,2999,881,401
9,513,1791,2744,919,444
8,506,1460,2413,1006,435
9,597,1301,2217,266,204
0,645,735,449,60,120
0,449,867,1899,1248,590
17,706,1541,2312,1031,542
2,503,1416,3002,903,505
13,595,1395,2784,951,537
1,592,1293,2838,1085,520
18,858,1249,2610,348,259
0,1252,702,417,260,115
0,748,867,2004,1175,791
13,886,1625,2866,1030,633
132,770,1556,3330,966,587
82,709,1498,3355,940,543
99,969,1737,3507,1166,568
0,1045,1401,3611,299,256
0,1098,772,515,46,122
0,719,808,2782,1244,793
28,827,1528,4509,956,631
0,672,1388,4063,1021,572
0,802,1289,3648,1013,557
42,1061,1286,3663,1355,559
41,1183,1148,3952,394,272
0,1205,635,457,68,153
3,878,598,3375,1256,757
