Id,Name,Date,EndDate,ProblemIdList
1,yukicoder contest 1,2014-07-23,2014-07-23,[17]
2,yukicoder contest 2,2014-07-23,2014-07-24,[18]
3,yukicoder contest 3,2014-07-24,2014-07-24,[11]
4,yukicoder contest 4,2014-07-24,2014-07-25,[19]
5,"yukicoder contest 5
",2014-07-26,2014-07-26,[14]
6,yukicoder contest 6,2014-07-26,2014-07-27,[24]
7,yukicoder contest 7,2014-07-27,2014-07-28,[25]
8,yukicoder contest 8,2014-07-29,2014-07-30,[26]
9,yukicoder contest 9,2014-07-31,2014-08-01,[28]
10,yukicoder contest 10,2014-08-03,2014-08-04,[29]
11,yukicoder contest 11,2014-08-05,2014-08-06,[30]
12,yukicoder contest 12,2014-08-07,2014-08-08,[34]
13,yukicoder contest 13,2014-08-10,2014-08-11,[37]
14,yukicoder contest 14,2014-08-14,2014-08-15,[38]
15,yukicoder contest 15,2014-08-17,2014-08-18,[39]
16,yukicoder contest 16,2014-08-21,2014-08-22,[42]
17,yukicoder contest 17,2014-08-24,2014-08-25,[61]
18,yukicoder contest 18,2014-08-26,2014-08-27,[59]
19,yukicoder contest 19,2014-08-28,2014-08-29,[62]
20,yukicoder contest 20,2014-08-31,2014-09-01,[64]
21,yukicoder contest 21,2014-09-02,2014-09-03,[67]
22,yukicoder contest 22,2014-09-04,2014-09-05,[68]
23,yukicoder contest 23,2014-09-07,2014-09-08,[33]
24,yukicoder contest 24,2014-09-09,2014-09-10,[69]
25,yukicoder contest 25,2014-09-11,2014-09-12,[70]
26,yukicoder contest 26,2014-09-16,2014-09-17,[74]
27,yukicoder contest 27,2014-09-18,2014-09-19,[32]
28,yukicoder contest 28,2014-09-21,2014-09-22,[9]
29,yukicoder contest 29,2014-09-23,2014-09-24,[1]
30,yukicoder contest 30,2014-09-25,2014-09-26,[2]
31,yukicoder contest 31,2014-09-28,2014-09-29,[3]
32,yukicoder contest 32,2014-09-30,2014-10-01,[5]
33,yukicoder contest 33,2014-10-02,2014-10-03,[6]
34,yukicoder contest 34,2014-10-05,2014-10-06,[15]
35,yukicoder contest 35,2014-10-07,2014-10-08,"[4, 27]"
36,yukicoder contest 36,2014-10-09,2014-10-10,[63]
37,yukicoder contest 37,2014-10-12,2014-10-13,[31]
38,yukicoder contest 38,2014-10-14,2014-10-15,"[36, 60]"
39,yukicoder contest 39,2014-10-16,2014-10-17,"[40, 22]"
40,yukicoder contest 40,2014-10-19,2014-10-20,[8]
41,yukicoder contest 41,2014-10-21,2014-10-22,"[43, 89]"
42,yukicoder contest 42,2014-10-23,2014-10-23,"[75, 87]"
43,yukicoder contest 43,2014-10-26,2014-10-27,[81]
44,yukicoder contest 44,2014-10-28,2014-10-29,"[100, 10]"
45,yukicoder contest 45,2014-10-30,2014-10-31,"[80, 41]"
46,yukicoder contest 46,2014-11-03,2014-11-03,[83]
47,yukicoder contest 47,2014-11-04,2014-11-05,"[111, 82, 79]"
48,yukicoder contest 48,2014-11-06,2014-11-07,[98]
49,yukicoder contest 49,2014-11-09,2014-11-10,"[123, 113]"
50,yukicoder contest 50,2014-11-10,2014-11-10,[132]
51,yukicoder contest 51,2014-11-11,2014-11-12,"[134, 119]"
